epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,96.1949,1.25325,0.94165,0.99911,0.19782,0.000237788,0.000237788,0.000237788
2,191.446,0.32345,0.97461,1,0.07718,0.000452236,0.000452236,0.000452236
3,286.694,0.24053,0.97171,1,0.09042,0.000643123,0.000643123,0.000643123
4,382.137,0.19414,0.98886,0.99978,0.03778,0.000607971,0.000607971,0.000607971
5,477.373,0.14822,0.99243,0.99955,0.02904,0.000572628,0.000572628,0.000572628
6,573.459,0.12231,0.99131,1,0.02782,0.000537285,0.000537285,0.000537285
7,668.732,0.10868,0.99421,1,0.01954,0.000501942,0.000501942,0.000501942
8,762.441,0.09883,0.99532,1,0.01748,0.000466599,0.000466599,0.000466599
9,855.116,0.09105,0.99443,1,0.01654,0.000431256,0.000431256,0.000431256
10,947.933,0.07669,0.99599,1,0.01453,0.000395913,0.000395913,0.000395913
11,1042.36,0.06969,0.9951,1,0.01182,0.00036057,0.00036057,0.00036057
12,1136.23,0.06767,0.99666,1,0.01114,0.000325227,0.000325227,0.000325227
13,1230.47,0.06089,0.99688,1,0.01079,0.000289884,0.000289884,0.000289884
14,1323.88,0.05432,0.99599,1,0.00947,0.000254541,0.000254541,0.000254541
15,1417.63,0.04999,0.99777,1,0.00672,0.000219198,0.000219198,0.000219198
16,1509.97,0.04618,0.99777,1,0.00674,0.000183855,0.000183855,0.000183855
17,1602.84,0.04446,0.99688,1,0.00853,0.000148512,0.000148512,0.000148512
18,1696.39,0.04133,0.99755,1,0.00811,0.000113169,0.000113169,0.000113169
19,1789.96,0.03333,0.998,1,0.00725,7.7826e-05,7.7826e-05,7.7826e-05
20,1883.04,0.03582,0.99777,1,0.00743,4.2483e-05,4.2483e-05,4.2483e-05
